"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"35-44","government and public administration","HEAD OF STRATEGY","",50000,0,NA,"","","UNITED KINGDOM/UK",NA,"BRISTOL","11 - 20 years","11 - 20 years","PhD","Woman","White"
"35-44","computing or tech","SENIOR CUSTOMER SUPPORT REPRESENTATIVE","",80000,NA,NA,"","","UNITED STATES","Oregon","SALEM (REMOTE FOR BOSTON MASS)","8 - 10 years",NA,"College degree","Woman","White"
"25-34","social work","CLINICAL SUPERVISOR","Social Work Manager in Healthcare",59500,62000,NA,"","","UNITED STATES","Oregon","PORTLAND","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","education (higher education)","ACADEMIC SERVICES COORD","",40900,1800,NA,"","","UNITED STATES","Tennessee","MEMPHIS","21 - 30 years","11 - 20 years","College degree","Woman","White"
"25-34","government and public administration","OFFICE SUPPORT ASSISTANT","",39000,NA,NA,"","","UNITED STATES","Washington","PORT ORCHARD","5-7 years","5-7 years","College degree","Woman","White"
"25-34","computing or tech","INFORMATION SECURITY ENGINEER 1","",75000,0,NA,"","","UNITED STATES","Arkansas","LITTLE ROCK","5-7 years","2 - 4 years","Master's degree","Man","White"
"35-44","environmental sciences","BOTANIST","",68000,0,NA,"","","UNITED STATES","California","SACRAMENTO","8 - 10 years",NA,"College degree","Woman","White"
"25-34","marketing, advertising and pr","SENIOR COMMUNICATIONS SPECIALIST","",78000,0,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","5-7 years","Master's degree","Woman","White"
"35-44","accounting, banking and finance","BI ANALYST","",95000,0,NA,"","","UNITED STATES","Utah","SALT LAKE CITY","11 - 20 years","5-7 years","College degree","Man","White"
"45-54","education (primary/secondary)","SUPERINTENDENT","",230000,0,NA,"","","UNITED STATES","Missouri","ST LOUIS","21 - 30 years","21 - 30 years","PhD","Man","White"
"45-54","accounting, banking and finance","PAYROLL ADMINISTRATOR","",56160,0,NA,"","","UNITED STATES","Oregon","PORTLAND","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","insurance","PRODUCT MANGER GL/UMB","I wrote and manage coverage forms for commercial lines",85000,12000,NA,"","Bonus starts at 15% of salary and can go up and down depending on company and individual performance ","UNITED STATES","Massachusetts","WORCESTER","11 - 20 years","2 - 4 years","College degree","Woman","White"
"25-34","computing or tech","PRODUCT MANAGER","",75000,0,NA,"","","CANADA",NA,"VANCOUVER","5-7 years","2 - 4 years","Master's degree","Woman","White"
"35-44","art and design","INTERMEDIATE ARCHITECT","",82000,2000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","recruitment or hr","HUMAN RESOURCES / PAYROLL","HR and Payroll department of one, with Bookkeeping, vendor, customer, and retail assistance duties ",45000,0,NA,"","","UNITED STATES","Georgia","WARNER ROBINS","11 - 20 years","2 - 4 years","High School","Woman","White"
"35-44","engineering or manufacturing","ENGINEERING MANAGER","",140000,15000,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years","11 - 20 years","College degree","Man","White"
"35-44","government and public administration","SUPERVISING STAFF ATTORNEY","",97500,NA,NA,"","","UNITED STATES","Washington","OLYMPIA","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","computing or tech","PREPRESS DESIGNER","Variable data programming + design for printed materials. ",53600,0,NA,"","","UNITED STATES","Texas","FRISCO","5-7 years","5-7 years","College degree","Woman","White"
"25-34","government and public administration","SENIOR LEGAL POLICY ADVISOR","",101000,0,NA,"","","AUSTRALIA",NA,"MELBOURNE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","computing or tech","SECURITY ENGINEER","",170000,110000,NA,"","","UNITED STATES","District of Columbia","DC","11 - 20 years","11 - 20 years","College degree","Man","White"
"25-34","engineering or manufacturing","PROJECT ENGINEER","",95000,4000,NA,"","Bonuses are based on overall company sales","UNITED STATES","Pennsylvania","WARMINSTER","8 - 10 years",NA,"Master's degree","Man","Black or African American"
"35-44","law","COUNSEL","",350,180,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Man","White"
"45-54","law","SENIOR PROJECT MANAGER","",114000,1500,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","31 - 40 years",NA,"College degree","Woman","White"
"25-34","media and digital","PROGRAM MANAGER","I work with external developers and act as a co-producer",112000,NA,NA,"","","UNITED STATES","California","SAN FRANCISCO, CA","8 - 10 years",NA,"Some college","Woman","Hispanic, Latino, or Spanish origin, White"
"35-44","accounting, banking and finance","SENIOR SOFTWARE ENGINEER","",210000,40000,NA,"","","UNITED STATES","New York","NEW YORK CITY","21 - 30 years","21 - 30 years","Master's degree","Man","White"
"25-34","accounting, banking and finance","FINANCIAL ANALYST","",62000,0,NA,"","There haven't been any bonuses or yearly performance raises in the time I've worked here due to decreased profits two years ago, and COVID last year. This year will be the first year since I've been here that I'll be getting a bonus and a performance raise. ","UNITED STATES","Michigan","METRO DETROIT AREA","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","recruitment or hr","HR MANAGER","",57288,10000,NA,"","","UNITED STATES","Pennsylvania","LANSDALE","11 - 20 years","2 - 4 years","College degree","Woman","White"
"25-34","computing or tech","SOFTWARE ENGINEER, INFRASTRUCTURE","",163000,25000,NA,"","Bonus is RSUs, I gave approximate value at current valuation of the company","UNITED STATES","California","SAN FRANCISCO","5-7 years","2 - 4 years","Master's degree","Woman","White"
"35-44","education (higher education)","EDUCATION TECHNOLOGY MANAGER","",657900,NA,NA,"","","UNITED STATES","Tennessee","NASHVILLE","11 - 20 years","5-7 years","Master's degree","Woman","White"
"55-64","marketing, advertising and pr","OFFICE MANAGER","",72000,NA,NA,"","12 years with the company ","UNITED STATES","Illinois","CHICAGO","21 - 30 years","11 - 20 years","College degree","Woman","White"
"25-34","utilities and telecommunications","SOFTWARE ENGINEER","",10800,NA,NA,"","","GREECE",NA,"ATHENS","5-7 years","2 - 4 years","College degree","Man","White"
"35-44","health care","CASE MANAGER","",51500,2000,NA,"","","CANADA",NA,"TORONTO","11 - 20 years","5-7 years","High School","Woman","White"
"25-34","nonprofits","SENIOR MANAGER, FUNDRAISING","",77000,2000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","accounting, banking and finance","FINANCIAL MANAGER","",141000,50000,NA,"","","UNITED STATES","California","LOS ANGELES","8 - 10 years",NA,"College degree","Woman","White"
"35-44","health care","DATA ENGINEER","",38890,0,NA,"","","UNITED KINGDOM/UK",NA,"NORWICH","8 - 10 years","5-7 years","Master's degree","Woman","Another option not listed here or prefer not to answer"
"18-24","education (higher education)","ADMINISTRATIVE ASSISTANT","",58000,NA,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","2 - 4 years",NA,"Woman","Asian or Asian American"
NA,"","","",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"",""
"25-34","computing or tech","BUSINESS ANALYST","Data Visualization",125000,25000,NA,"","25k is stocks","UNITED STATES","California","SAN JOSE","5-7 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"45-54","business or consulting","SENIOR CONTENT STRATEGIST","Medical Device Industry",1e+05,10000,NA,"","","UNITED STATES","Colorado","DENVER","11 - 20 years",NA,"Master's degree","Woman","White"
"18-24","insurance","BUSINESS INTELLIGENCE ANALYST","",70000,6730,NA,"","","UNITED STATES","Rhode Island","JOHNSTON","1 year or less","1 year or less","College degree","Man","White"
"25-34","government and public administration","GOVERNMENT CONTRACTS ADMINISTRATOR","",45166,0,NA,"","General Clerk II wage determination","UNITED STATES","Maryland","LINTHICUM HEIGHTS","11 - 20 years","2 - 4 years","Master's degree","Non-binary","Hispanic, Latino, or Spanish origin, White"
"25-34","law","ASSOCIATE ATTORNEY","",76500,250,NA,"","","UNITED STATES","Connecticut","ROCKY HILL","5-7 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","law","ATTORNEY","",85000,0,NA,"","Income varies because I'm self-employed and work on a contingency basis.","UNITED STATES","Arizona","PHOENIX","11 - 20 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","computing or tech","PROJECT MANAGER","",71000,1500,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","5-7 years","5-7 years","College degree","Woman","White"
"25-34","business or consulting","SENIOR BUSINESS ANALYST","",71000,8000,NA,"","","UNITED STATES","New York","NEW YORK, NEW YORK","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","accounting, banking and finance","INTERNAL COMMUNICATIONS SENIOR ASSOCIATE","",110000,10000,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years",NA,"College degree","Woman","White"
"25-34","utilities and telecommunications","DATA ENTRY AND RECORDS SPECIALIST","",29120,NA,NA,"","","UNITED STATES","Wisconsin","MADISON","5-7 years","1 year or less","Some college","Non-binary","White"
"35-44","nonprofits","COMMUNICATIONS DIRECTOR","",111000,0,NA,"","","UNITED STATES","Maryland","TAKOMA PARK, MD","11 - 20 years","11 - 20 years","College degree","Woman","White"
"55-64","environmental","PROGRAM MANAGER","Environmental engineering services",131000,5000,NA,"","","UNITED STATES","Maryland","HUNT VALLEY","31 - 40 years","31 - 40 years","Master's degree","Man","White"
"25-34","nonprofits","COLLECTIONS LIBRARIAN","",33280,NA,NA,"","","UNITED STATES","Hawaii","HONOLULU","2 - 4 years","2 - 4 years","Master's degree","Woman","Asian or Asian American, White"
"25-34","digital","PRODUCT OWNER","Think project management for a tech product such as a APP ",42860,2000,NA,"","Also a lot of benefits ","UNITED KINGDOM/UK",NA,"BRIGHTON","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","marketing, advertising and pr","SENIOR PRODUCT MARKETING MANAGER","",210000,35000,NA,"","","UNITED STATES","California","SAN FRANCISCO","8 - 10 years","2 - 4 years","Master's degree","Man","Asian or Asian American"
"45-54","entertainment","FREELANCE BOOK EDITOR","Copy/line editor",50000,0,NA,"","","UNITED STATES","California","LOS ANGELES","8 - 10 years",NA,"College degree","Woman","White"
"18-24","computing or tech","FRONTEND ENGINEER","",60,NA,NA,"","","NETHERLANDS",NA,"AMSTERDAM","2 - 4 years","2 - 4 years","Some college","Man","White"
"35-44","engineering or manufacturing","SENIOR QUALITY ENGINEER","",110000,10000,NA,"","","UNITED STATES","California","LOS ANGELES","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","PANEL ADMINISTRATOR","Programming Surveys and Maintaining Database",60000,5000,NA,"","","UNITED STATES","Colorado","FORT COLLINS","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","business or consulting","MANAGER","",210000,10000,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","education (primary/secondary)","TUTOR","I work for a secondary school full-time. I provide classroom support to 9th and 10th grade teachers, and I also lead after-school sessions with students to reinforce classroom material and practice literacy skills.",35000,NA,NA,"","","UNITED STATES","Massachusetts","BOSTON","2 - 4 years","1 year or less","College degree","Non-binary","White"
"25-34","computing or tech","ENGAGEMENT MANAGER","",140000,25000,NA,"","","UNITED STATES","Texas","AUSTIN","5-7 years","5-7 years","College degree","Woman","White"
"35-44","education (higher education)","LIBRARY DIRECTOR","",150000,NA,NA,"","","UNITED STATES","Massachusetts","BOSTON","21 - 30 years","11 - 20 years","Master's degree","Woman","White"
"35-44","nonprofits","REPRESENTATIVE","Data entry/processing with a heavy internal/external customer service component",43000,1000,NA,"","","CANADA",NA,"VANCOUVER","11 - 20 years","2 - 4 years","College degree","Woman","White"
"25-34","accounting, banking and finance","LOAN PARTNER","Mortgage Loan Originator Assistant",42000,5400,NA,"","Additional compensation is based off how many loans I move to completion. ","UNITED STATES","Florida","ORLANDO","5-7 years","1 year or less","College degree","Man","Hispanic, Latino, or Spanish origin"
"25-34","art and design","ASSOCIATE CREATIVE DIRECTOR","",117500,2000,NA,"","","UNITED STATES","California","LOS ANGELES","5-7 years","5-7 years","College degree","Man","White"
"25-34","law","CASE MANAGER","",70000,20000,NA,"","","UNITED STATES","Florida","MIAMI","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","nonprofits","STAFF ATTORNEY","",95838,10474,NA,"","Additional monetary compensation = transit subsidy and rental assistance subsidy","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","computing or tech","TECHNICAL SUPPORT","",44900,2000,NA,"","","UNITED STATES","Florida","WEST PALM BEACH","5-7 years","5-7 years","College degree","Man","White"
"25-34","nonprofits","OPERATIONS COORDINATOR","",60000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","8 - 10 years",NA,"Some college","Woman","Black or African American, Hispanic, Latino, or Spanish origin"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",150000,15000,NA,"","","UNITED STATES","North Carolina","RALEIGH","11 - 20 years",NA,"Some college","Woman","White"
"45-54","computing or tech","INDUSTRY PROCESS CONSULTANT","",110000,11000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"35-44","computing or tech","MANAGER, BUSINESS INTELLIGENCE","",211000,109000,NA,"","\additional\\" compensation is in the form of equity - actual value depends on what happens if/when the company goes public\"","UNITED STATES","California","SAN FRANCISCO","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","accounting, banking and finance","LENDING ASSISTANT","",30000,0,NA,"","","UNITED STATES","Texas","GRANBURY","11 - 20 years","2 - 4 years","College degree","Woman","Hispanic, Latino, or Spanish origin"
"25-34","accounting, banking and finance","CRM MANAGER","",57000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","5-7 years","2 - 4 years","Some college","Woman","White"
"35-44","education (primary/secondary)","ASSISTANT PRINCIPAL","",112000,0,NA,"","","UNITED STATES",NA,"REDWOOD CITY, CA","2 - 4 years",NA,"Master's degree","Woman","Black or African American"
"35-44","health care","ACCESSIBILITY LEAD","I own accessibility processes/outcomes for the company",147000,6000,NA,"","","UNITED STATES","Wisconsin","MADISON","11 - 20 years","11 - 20 years","College degree","Man","White"
"35-44","business or consulting","MARKETING MANAGER","",72000,NA,NA,"","","UNITED STATES","Utah","SALT LAKE CITY","11 - 20 years","11 - 20 years","College degree","Man","White"
"35-44","computing or tech","PRODUCT MANAGER II","",157000,0,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"25-34","government and public administration","GENERAL LEDGER ACCOUNTANT","I’m not actually an accountant as I don’t have an accounting degree or certifications but I check over the general ledger for anomalies setting up period-end journal entries and am the right-hand to the CFO checking over financial statements.",55000,2500,NA,"","Bonuses are based on achievement of goals from the previous year and can be at most 5% of last year’s gross salary.","UNITED STATES","Washington","KENT","5-7 years","5-7 years","College degree","Woman","White"
"45-54","hospitality and events","DIRECTOR OF HUMAN RESOURCES","",102000,0,NA,"","","UNITED STATES","Tennessee","MEMPHIS","21 - 30 years","21 - 30 years","College degree","Woman","White"
"45-54","business or consulting","WORKPLACE STRATEGIST","",180000,NA,NA,"","",NA,NA,"WELLINGTON","21 - 30 years","11 - 20 years","College degree","Woman","White"
"25-34","government and public administration","PUBLIC INFORMATION OFFICER & COMMUNITY ENGAGEMENT","",75000,0,NA,"","","UNITED STATES","Ohio","COLUMBUS","11 - 20 years","5-7 years","College degree","Woman","White"
"35-44","law","ATTORNEY","",275000,20000,NA,"","","UNITED STATES","California","LOS ANGELES","8 - 10 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","media and digital","DEPUTY MANAGING EDITOR","",78000,4000,NA,"","","FRANCE",NA,"PARIS","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","nonprofits","PROJECT MANAGER","Real Estate Development department",80000,0,NA,"","","UNITED STATES","California","LOS ANGELES","5-7 years","2 - 4 years",NA,"Man","White"
"35-44","engineering or manufacturing","MECHANICAL ENGINEER III","",103000,NA,NA,"","","UNITED STATES","Maryland","HUNT VALLEY","11 - 20 years",NA,"College degree","Woman","White"
"45-54","law","PARTNER","Small litigation firm",96000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","entertainment","DIRECTOR OF STRATEGIC RESEARCH","I work in the analytics department of a sports entertainment company. I wanted to select Entertainment & Tech & Sports as my job area. I do statistical research for a sports team.",135000,0,NA,"","","CANADA",NA,"TORONTOO","2 - 4 years","2 - 4 years","PhD","Woman","White"
"35-44","marketing, advertising and pr","MARKETING DIRECTOR","",65000,NA,NA,"","","UNITED STATES","Utah","SALT LAKE CITY","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","education (higher education)","ESL TEACHER","Adult Education",75000,NA,NA,"","","CANADA",NA,"OTTAWA/GATINEAU","8 - 10 years","5-7 years","College degree","Woman","Black or African American"
"25-34","health care","DIALYSIS FLOAT RN","",83000,2400,NA,"","","UNITED STATES","Virginia","HAMPTON","5-7 years","5-7 years","College degree","Woman","White"
"35-44","marketing, advertising and pr","PUBLIC RELATIONS COORDINATOR","",59500,3000,NA,"","","UNITED STATES","Iowa","DES MOINES","11 - 20 years","2 - 4 years","College degree","Man","White"
"25-34","computing or tech","INCIDENT RESPONSE CONSULTANT","",136500,44000,NA,"","Partially RSUs","UNITED STATES","Georgia","ATLANTA","11 - 20 years","5-7 years","Master's degree","Woman","White"
"25-34","engineering or manufacturing","SALES ENGINEER","",94710,4000,NA,"","","CANADA",NA,"VANCOUVER","8 - 10 years","2 - 4 years","College degree","Woman","White"
"25-34","computing or tech","QUALITY ASSURANCE AUTOMATION ENGINEER","",86500,NA,NA,"","","UNITED STATES","Minnesota","ST PAUL","5-7 years","5-7 years","College degree","Man","White"
"25-34","accounting, banking and finance","ASSOCIATE","My scope is investor relations and business development",85000,15000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","5-7 years","5-7 years","College degree","Woman","Asian or Asian American"
"45-54","big pharma","DIRECTOR, BIOSTATISTICS","Clinical research and new drug development ",220000,40000,NA,"","","UNITED STATES","Pennsylvania","NORTH WALES","21 - 30 years","21 - 30 years","PhD","Woman","White"
"25-34","nonprofits","PROGRAM COORDINATOR","",48000,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","2 - 4 years","2 - 4 years","College degree","Woman","White"
"25-34","accounting, banking and finance","TAX PARAPROFESSIONAL","",52000,250,NA,"","","UNITED STATES","Vermont","BURLINGTON","5-7 years","5-7 years","College degree","",""
"35-44","research","SENIOR SCIENTIST","",77000,12000,NA,"","","MEXICO",NA,"MEXICO CITY","11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","computing or tech","SOFTWARE DEVELOPER","",67500,12000,NA,"","","UNITED STATES","Michigan","GRAND RAPIDS","5-7 years","5-7 years","College degree","Man","White"
"35-44","utilities and telecommunications","EXECUTIVE ASSISTANT TO THE CEO","",38500,3850,NA,"","","UNITED KINGDOM/UK",NA,"STAFFORD","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","insurance","UTILIZATION MANAGEMENT","Clinical role within health insurance",70000,NA,NA,"","","UNITED STATES","Minnesota","EDEN PRAIRIE, MN","8 - 10 years",NA,"Master's degree","Woman","White"
"35-44","social work","SUPPORTED LIVING COACH","Social Worker/Case Manager for Adults with Intellectual Disabilities",43000,2500,NA,"","","UNITED STATES","Florida","BOCA RATON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","nonprofits","SERVICE MANAGER","",34500,0,NA,"","","UNITED KINGDOM/UK",NA,"GLASGOW","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","sales","SALES MANAGER","",50000,3000,NA,"","","UNITED STATES","Oklahoma","OKLAHOMA CITY","21 - 30 years","11 - 20 years","College degree","Woman","Native American or Alaska Native"
"45-54","computing or tech","SENIOR SOFTWARE ENGINEER","Lead engineer ",154000,75000,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years","11 - 20 years","Master's degree","Man","Asian or Asian American"
"45-54","education (higher education)","ASSOCIATE CLINICAL PROFESSOR","",85000,15000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","31 - 40 years","11 - 20 years","PhD","Woman","White"
"25-34","nonprofits","FINANCIAL ADMINISTRATOR","",50000,0,NA,"","","UNITED STATES","Colorado","DENVER","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"45-54","computing or tech","SR PROJECT MANAGER","",133000,0,NA,"","","UNITED STATES","Oregon","PORTLAND, OR","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Woman","White"
"45-54","computing or tech","SR PRODUCT MANAGER","",183000,30000,NA,"","","UNITED STATES",NA,"CHICAGO","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"25-34","counseling","LICENSED PROFESSIONAL COUNSELOR","",40000,0,NA,"","","UNITED STATES","Kansas","OVERLAND PARK","5-7 years","2 - 4 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","ASSOCIATE MANAGER","Market researcher for large CPG company",115000,11500,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","8 - 10 years",NA,"College degree","Woman","White"
"35-44","marketing, advertising and pr","CONTENT MANAGER","",106000,10000,NA,"","","UNITED STATES",NA,"LOS ANGELES","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","business or consulting","SENIOR DESIGNER","In house designer for financial services firm",31000,900,NA,"","","SCOTLAND",NA,"GLASGOW","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","nonprofits","SENIOR COMMUNICATIONS MANAGER","",74000,0,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","5-7 years","5-7 years","Master's degree","Woman","White"
"35-44","government and public administration","PROGRAM ANALYST","This is a generic title of many people in the fed govt. My more descriptive titles are: Evaluator; Team Lead.",131000,1000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON DC","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","art and design","ART DIRECTOR","",82500,0,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","21 - 30 years",NA,"College degree","Woman","Black or African American"
"25-34","accounting, banking and finance","OPERATIONS ASST","",41600,16000,NA,"","","UNITED STATES","North Carolina","CHARLOTTE","11 - 20 years",NA,"College degree","Woman","White"
"35-44","nonprofits","ASSOCIATE DIRECTOR, GRANTS AND SCIENTIFIC PROGRAMS","I oversee both a research funding program and scientific workshops for researchers in a particular disease.",95000,NA,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","nonprofits","ACCOUNTING MANAGER","",98500,2400,NA,"","","UNITED STATES","Missouri","KANSAS CITY","11 - 20 years","5-7 years","Master's degree","Woman","White"
"25-34","accounting, banking and finance","CONTRACTOR","helping people pay bills and rent due to being impacted by covid.",28800,0,NA,"","19 an hour","UNITED STATES","California","LOS ANGELES","5-7 years","5-7 years","Some college","Woman","Middle Eastern or Northern African"
"45-54","engineering or manufacturing","PRODUCT SUPPORT REPRESENTATIVE","Duties include technical writing, technical support, and customer service",47840,2000,NA,"","","UNITED STATES","California","SHINGLE SPRINGS","21 - 30 years","21 - 30 years","College degree","Man","Asian or Asian American, White"
"35-44","computing or tech","IT TECHNICIAN","",55000,0,NA,"","","UNITED STATES","Arizona","SCOTTSDALE","11 - 20 years",NA,"Some college","Man","White"
"25-34","engineering or manufacturing","OFFICE MANAGER","",60000,NA,NA,"","","UNITED STATES","Wisconsin","WAUKESHA","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","education (primary/secondary)","HIGH SCHOOL TEACHER","",67000,0,NA,"","","UNITED STATES","Massachusetts","ATTLEBORO","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","government and public administration","LEGISLATIVE DIRECTOR","for a State Representative",70000,0,NA,"","","UNITED STATES","Oregon","SALEM","5-7 years","2 - 4 years","College degree","Woman","White"
"18-24","","BIOLOGIST 1","Laboratory technician type role",35360,NA,NA,"","","UNITED STATES","Illinois","CHICAGO","1 year or less","1 year or less","College degree","Woman","Asian or Asian American"
"25-34","government contractor","PROJECT MANAGER","",90000,2000,NA,"","","UNITED STATES","Virginia","LEESBURG VA","5-7 years","5-7 years","Master's degree","Woman","White"
"18-24","restaurant","DISHWASHER","Basically, helps everyone in the kitchen. Cuts vegetables-meats, cooks, brings in groceries.",29120,0,NA,"","I used to get tips but now they take 3-5 months to come in.","UNITED STATES","ZZ_Multiple","CERRITOS","5-7 years","5-7 years","High School","Man","Hispanic, Latino, or Spanish origin"
"25-34","nonprofits","PASTOR/CATHOLIC PRIEST","Catholic Priest for a Diocese",32900,3000,NA,"","My salary is also supplemented with housing and food provided","UNITED STATES","Ohio","COLUMBUS, OH","5-7 years","5-7 years","Master's degree","Man","Hispanic, Latino, or Spanish origin, White"
"25-34","education (higher education)","ASSOCIATE DIRECTOR OF COMMUNITY-ENGAGED LEARNING","I specifically work with faculty, but broadly my job “type” fits under community engagement/service learning",45000,NA,NA,"","Year-round position ","UNITED STATES","Michigan","THIS WOULD PROBABLY OUT ME","5-7 years","2 - 4 years","PhD","Woman","White"
"55-64","business or consulting","LEAD DESIGNER","",65000,0,NA,"","","UNITED STATES","Rhode Island","PROVIDENCE","31 - 40 years","31 - 40 years","College degree","Woman","White"
"25-34","agriculture or forestry","RESEARCH MANAGER","",94000,14000,NA,"","I have a PhD and am responsible for leading a team to test products ","UNITED STATES","Colorado","DENVER","11 - 20 years",NA,"PhD","Woman","Asian or Asian American"
"35-44","computing or tech","OPERATIONS MANAGER","",69600,NA,NA,"","","UNITED STATES","California","CAMARILLO","11 - 20 years","5-7 years","College degree","Woman","White"
"25-34","marketing, advertising and pr","MARKETING COMMUNICATIONS CONSULTANT","",73000,5000,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",145000,13000,NA,"","","UNITED STATES","Massachusetts","BOSTON","8 - 10 years",NA,"College degree","Woman","White"
"35-44","law","ASSISTANT PUBLIC DEFENDER","",80000,0,NA,"","","UNITED STATES","Georgia","DOUGLASVILLE","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Another option not listed here or prefer not to answer"
"25-34","utilities and telecommunications","SENIOR WELL ENGINEER (CWI)","Petroleum Engineer is generally the broad category",214800,21480,NA,"","No bonus due to COVID (only 401k match). Typical bonus is 20%.","UNITED STATES","Texas","HOUSTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","biotech","MOLECULAR BIOLOGIST","",70000,3200,NA,"","","UNITED STATES","California","DAVIS","11 - 20 years","11 - 20 years","College degree","Woman","Another option not listed here or prefer not to answer"
"35-44","education (higher education)","DIRECTOR OF PHILANTHROPY","Fundraising",78000,NA,NA,"","","UNITED STATES","Kentucky","LEXINGTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"55-64","computing or tech","SOFTWARE ENGINEER","",119600,0,NA,"","","UNITED KINGDOM/UK",NA,"N/A","31 - 40 years","31 - 40 years","College degree","Man","White"
"35-44","computing or tech","TECHNICAL WRITER","",50000,2000,NA,"","","UNITED STATES","Texas","AUSTIN","21 - 30 years","11 - 20 years","College degree","Woman","White"
"45-54","media and digital","WEB PRODUCER","",88000,88000,NA,"","","UNITED STATES","California","SAN FRANCISCO","21 - 30 years","5-7 years","Some college","Woman","White"
"45-54","government and public administration","BENEFITS OFFICER","",62150,4000,NA,"","","CANADA",NA,"EDMONTON","21 - 30 years","2 - 4 years","College degree","Woman","White"
